year,pollute,source,ratio
107,PM2.5,公路運輸,38%
107,PM2.5,餐飲業,19%
107,PM2.5,車輛行駛揚塵（鋪）,12%
107,PM2.5,建築/施工,9%
107,PM2.5,農業操作,5%
107,PM2.5,其他,17%
107,SOx,非公路運輸,41%
107,SOx,電力及燃氣供應業,28%
107,SOx,紡織業,8%
107,SOx,化學材料製造業,6%
107,SOx,非金屬礦物製品製造業,3%
107,SOx,其他,15%
107,NOx,公路運輸,75%
107,NOx,電力及燃氣供應業,7%
107,NOx,非公路運輸,5%
107,NOx,焚化爐,4%
107,NOx,住宅,3%
107,NOx,其他,7%
107,NMHC,一般消費,36%
107,NMHC,公路運輸,17%
107,NMHC,印刷業,17%
107,NMHC,建築塗料,8%
107,NMHC,塑膠製品製造業,8%
107,NMHC,其他工業表面塗裝,8%
107,NMHC,其他,6%
106,PM2.5,公路運輸,38%
106,PM2.5,餐飲業,18%
106,PM2.5,車輛行駛揚塵（鋪）,11%
106,PM2.5,建築/施工,9%
106,PM2.5,農業操作,5%
106,PM2.5,其他,20%
106,SOx,非公路運輸,43%
106,SOx,電力及燃氣供應業,23%
106,SOx,紡織業,9%
106,SOx,化學材料製造業,7%
106,SOx,非金屬礦物製品製造業,15%
106,SOx,其他,17%
106,NOx,公路運輸,74%
106,NOx,電力及燃氣供應業,8%
106,NOx,非公路運輸,5%
106,NOx,焚化爐,4%
106,NOx,住宅,3%
106,NOx,其他,6%
106,NMHC,一般消費,36%
106,NMHC,公路運輸,17%
106,NMHC,印刷業,17%
106,NMHC,建築塗料,8%
106,NMHC,塑膠製品製造業,8%
106,NMHC,其他工業表面塗裝,8%
106,NMHC,其他,7%
105,PM2.5,公路運輸,38%
105,PM2.5,餐飲業,19%
105,PM2.5,車輛行駛揚塵（鋪）,12%
105,PM2.5,建築/施工,9%
105,PM2.5,農業操作,5%
105,SOx,非公路運輸,51%
105,SOx,電力及燃氣供應業,8%
105,SOx,紡織業,10%
105,SOx,化學材料製造業,8%
105,SOx,非金屬礦物製品製造業,4%
105,SOx,其他,19%
105,NOx,公路運輸,76%
105,NOx,電力及燃氣供應業,3%
105,NOx,非公路運輸,5%
105,NOx,焚化爐,4%
105,NOx,住宅,3%
105,NOx,其他,8%
105,NMHC,一般消費,36%
105,NMHC,公路運輸,17%
105,NMHC,印刷業,17%
105,NMHC,建築塗料,8%
105,NMHC,塑膠製品製造業,8%
105,NMHC,其他工業表面塗裝,8%
105,NMHC,其他,7%
